Id,Area,COUNT,MIN,MAX,RANGE,MEAN,STD,SUM,volume,mean_depth,cat_area,dep2catR,Downstream,simu_depth,rain_inten,time_inund,rank,Shape_Leng,Shape_Area,Perimeter,Max_depth,depth_inde,MinBdAr,depConcav,LenLonAx,MBG_Width,MBG_Length,MBG_Orient,Circular,Compact,Elong
123,202.000000042,202,2231.65380859,2232.22460938,0.57080078125,2231.97500338,0.157653821,450858.950684,50.4204,0.249606,3244,0.0622688,53,0.0155427,0.05,0.310854,358,66,202,66,0.570801,0.126171,283.502118345,-2.4802,18.9991,15,18,0,0.582738,0.712517,1.2
124,210.000000043,210,2232.64794922,2233.74633789,1.09838867188,2233.16144206,0.3033469294,468963.902832,122.828,0.584895,1777,0.118177,47,0.069121,0.05,1.38242,482,78,210,78,1.09839,0.23812,568.399939408,-9.7,26.9018,12.0208152802,26.8700576851,135,0.43375,0.369458,2.23529
125,452.000000096,452,2233.09448242,2234.75805664,1.66357421875,2233.7818879,0.50040303941,1009669.41333,441.228,0.976168,4762,0.0949181,124,0.092656,0.05,1.85312,502,108,452,108,1.66357,0.245823,867.909201218,-5.93805,33.2424,19.7989898732,33.2340187158,135,0.486968,0.520792,1.67857
127,600.000000125,600,2246.14526367,2246.92407227,0.77880859375,2246.71255534,0.18660008808,1348027.5332,126.91,0.211517,13038,0.0460193,47,0.00973385,0.05,0.194677,310,174,600,174,0.778809,0.0998861,1388.81145416,-1.005,42.051,23.58408573,41.0387982554,95.3558250429,0.249036,0.432024,1.74011
128,954.000000199,954,2248.70751953,2250.35229492,1.64477539062,2249.8702326,0.41886084506,2146376.2019,459.887,0.482062,8285,0.115148,127,0.0555084,0.05,1.11017,465,176,954,176,1.64478,0.167295,1398.23244764,-0.989518,42.1934,35,41,90,0.38702,0.68229,1.17143
129,245.000000049,245,2260.48583984,2261.46142578,0.9755859375,2260.98423848,0.27460694736,553941.138428,116.911,0.477188,74109,0.00330594,126,0.00157755,0.05,0.031551,154,96,245,96,0.975586,0.195809,887.14355184,-7.6,33.6087,12.403473459,33.6134130734,29.7448812972,0.334067,0.276167,2.71
133,263.000000057,263,2254.98364258,2255.39868164,0.4150390625,2255.18244545,0.10372801306,593112.983154,56.8701,0.216236,2638,0.0996967,47,0.021558,0.05,0.43116,388,86,263,86,0.415039,0.0804009,494.446943155,-1.93156,25.0908,15.5563491861,24.0416305603,135,0.446857,0.531907,1.54545
135,283.000000058,283,2223.06860352,2224.65527344,1.58666992188,2224.04974344,0.37049000609,629406.077393,171.365,0.60553,9891,0.0286119,105,0.0173253,0.05,0.346506,366,96,283,96,1.58667,0.296308,842.393832851,-5.86926,32.7501,12.5935523576,32.4469172498,69.7751405692,0.385881,0.335947,2.57647
138,9006.00000187,9006,2302.86035156,2303.30957031,0.44921875,2303.13130157,0.09755245673,20742000.502,1605.49,0.178269,36166,0.249018,140,0.0443922,0.05,0.887844,455,572,9006,572,0.449219,0.0148711,21219.2176276,-0.154786,164.369,91.1672909393,155.394041296,55.6456633449,0.345899,0.424427,1.70449
145,229.000000051,229,2345.85766602,2346.18041992,0.32275390625,2346.04947632,0.07062587239,537245.330078,29.9861,0.130944,13659,0.0167655,146,0.00219534,0.05,0.0439068,182,130,229,130,0.322754,0.0670045,1585.86723426,-5.31441,44.9354,9.06474539535,44.8466351129,151.504361382,0.170278,0.1444,4.94737
146,6622.00000138,6622,2345.33349609,2345.93994141,0.6064453125,2345.68996249,0.11223122519,15533158.9316,1655.36,0.249979,29887,0.221568,140,0.0553873,0.05,1.10775,464,526,6622,526,0.606445,0.0234124,12396.9745138,-0.332528,125.636,72.7237249798,124.769138049,8.93956500315,0.300765,0.534163,1.71566
148,979.000000206,979,2267.52197266,2267.96142578,0.439453125,2267.73642164,0.11783325543,2220113.95679,220.279,0.225004,3166,0.309223,7,0.0695764,0.05,1.39153,483,226,979,226,0.439453,0.0441236,3066.91734241,-0.910112,62.4894,26.9694521886,62.4249820052,35.5376777921,0.240866,0.319213,2.31466
152,351.000000073,351,2239.4074707,2239.83789062,0.43041992188,2239.60636602,0.11458611131,786101.834473,81.2651,0.231524,12404,0.0282973,105,0.00655152,0.05,0.13103,273,94,351,94,0.43042,0.0721753,538.577245703,-1.4302,26.1866,20.2385770248,25.6144490474,71.5650511769,0.499185,0.651717,1.26562
155,229.000000047,229,2242.48046875,2243.68920898,1.20874023438,2243.28709125,0.35477140211,513712.743896,92.085,0.402118,3941,0.0581071,105,0.0233659,0.05,0.467318,401,78,229,78,1.20874,0.250937,456.138552513,-2.55022,24.0992,15,24,90,0.472995,0.50204,1.6
158,1073.00000022,1073,2217.59130859,2218.84277344,1.25146484375,2218.17868159,0.3420383738,2380105.72534,712.571,0.664092,12577,0.0853145,0,0.0566567,0.05,1.13313,467,156,1073,156,1.25146,0.120024,1557.49838562,-1.48928,44.5317,34.8826604488,44.2741459546,26.565051177,0.554065,0.688925,1.26923
159,497.000000105,497,2212.34375,2212.69238281,0.3486328125,2212.52030886,0.05597731421,1099622.59351,85.5207,0.172074,7399,0.0671712,0,0.0115584,0.05,0.231168,328,124,497,124,0.348633,0.0491293,1327.57919991,-2.24346,41.1136,19,41,0,0.406184,0.374366,2.15789
162,462.000000099,462,2350.71337891,2351.15966797,0.4462890625,2351.06357274,0.07655815133,1086191.37061,44.396,0.0960952,82687,0.00558734,140,0.000536916,0.05,0.0107383,85,110,462,110,0.446289,0.0652297,773.3065474,-0.571429,31.3784,23.5747583398,28.7889401841,70.5599651717,0.479807,0.597434,1.22118
168,555.000000116,555,2278.79077148,2279.74780273,0.95703125,2279.45818597,0.17857860254,1265099.29321,160.737,0.289616,6807,0.0815337,47,0.0236135,0.05,0.47227,402,122,555,122,0.957031,0.127623,1008.83138417,-1.97838,35.8397,25,33,90,0.468579,0.550142,1.32
169,218.000000044,218,2352.45117188,2352.83666992,0.38549804688,2352.71738035,0.06618772571,512892.388916,26.0051,0.119289,41705,0.00522719,140,0.000623549,0.05,0.012471,95,170,218,170,0.385498,0.0820245,3620.80182397,-5.70642,67.8981,7.71939499448,67.8637326889,15.7807533095,0.0947913,0.0602077,8.79133
172,218.000000046,218,2113.8996582,2114.42114258,0.521484375,2114.16551055,0.1106359903,460888.081299,55.7278,0.255632,2211,0.0985979,165,0.0252048,0.05,0.504096,410,138,218,138,0.521484,0.110959,2217.8588796,-9.88532,53.1401,9,53,0,0.143849,0.098293,5.88889
176,268.000000057,268,2247.6574707,2248.08886719,0.43139648438,2247.8901932,0.10768936751,602434.571777,53.2446,0.198674,5544,0.0483405,53,0.009604,0.05,0.19208,309,82,268,82,0.431396,0.0827863,510.303813008,-2.22761,25.49,16,23,0,0.500861,0.525177,1.4375
180,882.000000185,882,2299.16162109,2304.69799805,5.53637695312,2302.46413209,1.63577293071,2030773.3645,1970.27,2.23387,13732,0.0642295,0,0.14348,0.05,2.8696,528,138,882,138,5.53638,0.585654,1170.41078461,-3.8322,38.6033,30.8577380897,38.4603692129,26.5650511772,0.581996,0.753582,1.24638
181,257.000000053,257,2349.79125977,2350.18798828,0.39672851563,2350.05882744,0.10420225117,603965.118652,33.1943,0.129161,14608,0.0175931,232,0.00227234,0.05,0.0454468,185,114,257,114,0.396729,0.0777459,623.355734654,-2.03891,28.1723,15.6955956922,27.3219628721,41.6335393362,0.248504,0.412285,1.74074
